coordinates,intens_mm,%_área
"19.4758212603,-99.1025757607",54 a 60,100
"19.5156444798,-99.1402397091",60 a 64,100
"19.5156444798,-99.1402397091",60 a 64,100
"19.4970179627,-99.0796939984",41 a 54,100
"19.4970179627,-99.0796939984",41 a 54,100
"19.4988294562,-99.1302504565",54 a 60,100
"19.4988294562,-99.1302504565",54 a 60,100
"19.465458542,-99.1221938875",54 a 60,100
"19.465458542,-99.1221938875",54 a 60,100
"19.4876212616,-99.0718064442",41 a 54,100
"19.4876212616,-99.0718064442",41 a 54,100
"19.4844533279,-99.1225130736",54 a 60,100
"19.4844533279,-99.1225130736",54 a 60,100
"19.4874592388,-99.1392838706",54 a 60,100
"19.4874592388,-99.1392838706",54 a 60,100
"19.5217509123,-99.1294796596",54 a 60,26 a 49
"19.5217509123,-99.1294796596",54 a 60,26 a 49
"19.5293923371,-99.1318022374",60 a 64,0 a 25
"19.5293923371,-99.1318022374",60 a 64,0 a 25
"19.502078647,-99.1244902758",54 a 60,100
"19.502078647,-99.1244902758",54 a 60,100
"19.5724863359,-99.1267640415",64 a 70,0 a 25
"19.5724863359,-99.1267640415",64 a 70,0 a 25
"19.4963702979,-99.0665244808",41 a 54,73 a 99
"19.4963702979,-99.0665244808",41 a 54,73 a 99
"19.4984587541,-99.0724608244",41 a 54,73 a 99
"19.4984587541,-99.0724608244",41 a 54,73 a 99
"19.4892579185,-99.0902588648",41 a 54,100
"19.4892579185,-99.0902588648",41 a 54,100
"19.4801981842,-99.0939680862",54 a 60,100
"19.4801981842,-99.0939680862",54 a 60,100
"19.4900816306,-99.136927651",54 a 60,100
"19.4900816306,-99.136927651",54 a 60,100
"19.5273795132,-99.1722110926",64 a 70,73 a 99
"19.5273795132,-99.1722110926",64 a 70,73 a 99
"19.5192607895,-99.1467097579",60 a 64,100
"19.5192607895,-99.1467097579",60 a 64,100
"19.5805386274,-99.1284303673",64 a 70,0 a 25
"19.5805386274,-99.1284303673",64 a 70,0 a 25
"19.5789444313,-99.134421544",64 a 70,0 a 25
"19.5789444313,-99.134421544",64 a 70,0 a 25
"19.4797248369,-99.125081824",54 a 60,100
"19.4797248369,-99.125081824",54 a 60,100
"19.4808627394,-99.1075992145",54 a 60,100
"19.4808627394,-99.1075992145",54 a 60,100
"19.5228166649,-99.1678551529",64 a 70,73 a 99
"19.5228166649,-99.1678551529",64 a 70,73 a 99
"19.4793857297,-99.1137574892",54 a 60,100
"19.4793857297,-99.1137574892",54 a 60,100
"19.4992953672,-99.0946149809",54 a 60,100
"19.4992953672,-99.0946149809",54 a 60,100
"19.4926844477,-99.0830662374",41 a 54,100
"19.4926844477,-99.0830662374",41 a 54,100
"19.5619317269,-99.1388151857",64 a 70,0 a 25
"19.5619317269,-99.1388151857",64 a 70,0 a 25
"19.5622399972,-99.1259048162",60 a 64,0 a 25
"19.5622399972,-99.1259048162",60 a 64,0 a 25
